brightness,cpu,tte_h,stop_reason
0.2,0.1,5.979166666666667,SOC threshold
0.4,0.1,5.416666666666667,SOC threshold
0.6,0.1,4.854166666666667,SOC threshold
0.8,0.1,4.341666666666667,SOC threshold
1.0,0.1,3.8833333333333333,SOC threshold
0.2,0.3,5.6375,SOC threshold
0.4,0.3,5.1375,SOC threshold
0.6,0.3,4.629166666666666,SOC threshold
0.8,0.3,4.158333333333333,SOC threshold
1.0,0.3,3.7333333333333334,voltage cutoff
0.2,0.5,5.0625,SOC threshold
0.4,0.5,4.654166666666667,SOC threshold
0.6,0.5,4.233333333333333,SOC threshold
0.8,0.5,3.8333333333333335,voltage cutoff
1.0,0.5,3.4625,voltage cutoff
0.2,0.7,4.391666666666667,SOC threshold
0.4,0.7,4.079166666666667,SOC threshold
0.6,0.7,3.745833333333333,voltage cutoff
0.8,0.7,3.425,voltage cutoff
1.0,0.7,3.125,voltage cutoff
0.2,0.9,3.725,voltage cutoff
0.4,0.9,3.4916666666666667,voltage cutoff
0.6,0.9,3.2416666666666667,voltage cutoff
0.8,0.9,2.995833333333333,voltage cutoff
1.0,0.9,2.7625,voltage cutoff
